,forecast,real_wind,residuals,t_plus_x
2023-09-25 16:49:03.825,1.749679174936372,1.602,-0.14767917493637195,1.837
2023-09-25 16:49:03.850,1.7128722821245472,1.608,-0.10487228212454713,1.788
2023-09-25 16:49:03.875,1.699686287413131,1.748,0.048313712586868895,1.79
2023-09-25 16:49:03.900,1.5695687816032877,1.825,0.25543121839671223,1.79
2023-09-25 16:49:03.925,1.6197479089013354,1.858,0.23825209109866474,1.784
2023-09-25 16:49:03.950,1.4774573809661757,1.941,0.4635426190338243,1.818
2023-09-25 16:49:03.975,1.5663325710605625,1.993,0.42666742893943765,1.827
2023-09-25 16:49:04.000,1.403755829536587,2.091,0.6872441704634131,1.882
2023-09-25 16:49:04.025,1.384518438124163,2.171,0.7864815618758367,1.874
2023-09-25 16:49:04.050,1.4948780477274868,2.186,0.6911219522725132,1.858
2023-09-25 16:49:04.075,1.3542427295033657,2.174,0.8197572704966343,1.804
2023-09-25 16:49:04.100,1.4090854263328543,2.188,0.7789145736671459,1.75
2023-09-25 16:49:04.125,1.5780947139145658,2.101,0.5229052860854342,1.7
2023-09-25 16:49:04.150,1.3057941596876796,2.062,0.7562058403123202,1.633
2023-09-25 16:49:04.175,1.586105794631425,2.053,0.46689420536857495,1.617
2023-09-25 16:49:04.200,1.9052149731789898,2.004,0.0987850268210102,1.574
2023-09-25 16:49:04.225,1.7841486314432564,1.957,0.17285136855674366,1.571
2023-09-25 16:49:04.250,1.9554466879757981,1.863,-0.09244668797579814,1.577
2023-09-25 16:49:04.275,1.868570159159726,1.733,-0.1355701591597258,1.602
2023-09-25 16:49:04.300,1.9502220837725872,1.547,-0.4032220837725873,1.608
2023-09-25 16:49:04.325,2.1069508192246467,1.402,-0.7049508192246468,1.748
2023-09-25 16:49:04.350,2.1229484165280073,1.348,-0.7749484165280072,1.825
2023-09-25 16:49:04.375,1.9539980256750518,1.316,-0.6379980256750517,1.858
2023-09-25 16:49:04.400,1.8780649247805181,1.335,-0.5430649247805182,1.941
2023-09-25 16:49:04.425,1.89726538540899,1.375,-0.52226538540899,1.993
2023-09-25 16:49:04.450,1.8186988635884125,1.434,-0.38469886358841254,2.091
2023-09-25 16:49:04.475,1.8771598935479545,1.455,-0.42215989354795447,2.171
2023-09-25 16:49:04.500,1.747656649833393,1.48,-0.267656649833393,2.186
2023-09-25 16:49:04.525,1.6183056779110516,1.563,-0.055305677911051676,2.174
2023-09-25 16:49:04.550,1.6305369139486328,1.745,0.11446308605136735,2.188
2023-09-25 16:49:04.575,1.671447308351535,1.935,0.26355269164846495,2.101
2023-09-25 16:49:04.600,1.4836281343613418,2.004,0.5203718656386582,2.062
2023-09-25 16:49:04.625,1.0140984959739876,2.044,1.0299015040260124,2.053
2023-09-25 16:49:04.650,0.9628511910634653,2.141,1.1781488089365348,2.004
2023-09-25 16:49:04.675,0.9525502093130606,2.158,1.2054497906869392,1.957
2023-09-25 16:49:04.700,1.0084134337342365,2.237,1.2285865662657636,1.863
2023-09-25 16:49:04.725,1.2057602262439342,2.235,1.0292397737560657,1.733
2023-09-25 16:49:04.750,1.3445495950861532,2.243,0.8984504049138466,1.547
2023-09-25 16:49:04.775,1.5164154645245718,2.23,0.7135845354754282,1.402
2023-09-25 16:49:04.800,1.6593416470795144,2.228,0.5686583529204858,1.348
2023-09-25 16:49:04.825,1.7510199026532507,2.196,0.4449800973467495,1.316
2023-09-25 16:49:04.850,1.7313552560022596,2.173,0.44164474399774045,1.335
2023-09-25 16:49:04.875,1.8413532409747075,2.139,0.29764675902529225,1.375
2023-09-25 16:49:04.900,1.9384152933816732,2.035,0.09658470661832697,1.434
2023-09-25 16:49:04.925,1.6801188515710195,1.971,0.2908811484289806,1.455
2023-09-25 16:49:04.950,1.979761653218374,1.825,-0.15476165321837398,1.48
2023-09-25 16:49:04.975,1.9214819635707137,1.773,-0.14848196357071375,1.563
2023-09-25 16:49:05.000,2.1422186853086673,1.715,-0.42721868530866725,1.745
2023-09-25 16:49:05.025,2.32269178479047,1.669,-0.6536917847904697,1.935
2023-09-25 16:49:05.050,2.14170088236461,1.65,-0.49170088236461007,2.004
2023-09-25 16:49:05.075,2.110129896591838,1.637,-0.4731298965918378,2.044
2023-09-25 16:49:05.100,1.963026569844959,1.635,-0.3280265698449589,2.141
2023-09-25 16:49:05.125,1.9879753241498133,1.656,-0.33197532414981334,2.158
2023-09-25 16:49:05.150,1.8550492166979293,1.654,-0.2010492166979294,2.237
2023-09-25 16:49:05.175,1.783126174991938,1.651,-0.13212617499193802,2.235
2023-09-25 16:49:05.200,1.6531566541596199,1.681,0.027843345840380174,2.243
2023-09-25 16:49:05.225,1.726859282419168,1.759,0.03214071758083192,2.23
2023-09-25 16:49:05.250,1.6611728453816281,1.966,0.30482715461837184,2.228
2023-09-25 16:49:05.275,1.6174538362553976,2.161,0.5435461637446024,2.196
2023-09-25 16:49:05.300,1.6126795621316754,2.324,0.7113204378683244,2.173
2023-09-25 16:49:05.325,1.4014895083240066,2.479,1.0775104916759934,2.139
2023-09-25 16:49:05.350,1.3949011960460251,2.671,1.2760988039539747,2.035
2023-09-25 16:49:05.375,1.441052610723699,2.741,1.2999473892763012,1.971
2023-09-25 16:49:05.400,1.3754972287455678,2.781,1.4055027712544323,1.825
2023-09-25 16:49:05.425,1.476926102724631,2.819,1.342073897275369,1.773
2023-09-25 16:49:05.450,1.5406085733090142,2.803,1.2623914266909857,1.715
