timestamp,throttle_ref,yaw,pitch,roll,tof_measurement,accX,accY,accZ,altitude_ref,RC_data,mot_FL,mot_FR,mot_BL,mot_BR,KF_altitutde_est,KF_velocity_z_est,KF_alpha_est,KF_beta_est
2573.706573,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2593.064091,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2613.458128,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2633.730721,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2656.003351,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2675.897906,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2696.155554,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2715.962684,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2748.032351,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2769.682795,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2789.307721,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.645,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2848.59698,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2869.595684,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
2890.601517,0.0042857142857143215,0.14032090841849687,-0.5579577163261422,-0.7649594777945866,[nan],2.06,-1.73,-0.65,-1,"5.010,0.030,-0.04,1003.,0.622,0.644,0.139,0.995,17",1059.0,1266.0,1335.0,1621.0,0.0,0.0,0.0,0.0
