index,datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,timestamp
516,2024-04-15 15:05:44.028784,1.58,1.605,1.5801530754702913,0.0452028872241689,1.6096364911821497,-0.7005848862777074,0.4364285714285714,11.731287002563477
517,2024-04-15 15:05:44.050637,1.585,1.605,1.5848139430104558,0.0540934975782766,1.614708390062063,-0.7026303382634129,0.435,11.753139972686768
518,2024-04-15 15:05:44.072060,1.585,1.605,1.5851548585752988,0.0489606255494956,1.6105455399115036,-0.7009529743963907,0.435,11.774563074111938
519,2024-04-15 15:05:44.093937,1.59,1.605,1.5898370758554468,0.056898776133842,1.6148772762851435,-0.7026972363882993,0.4342857142857143,11.79643988609314
520,2024-04-15 15:05:44.115414,1.59,1.605,1.590173527555413,0.0510001960754948,1.610303976077837,-0.7008566117163345,0.4342857142857143,11.817916870117188
521,2024-04-15 15:05:44.137036,1.595,1.605,1.5948507888513712,0.0583708648224706,1.614208434811042,-0.7024274689648273,0.4335714285714285,11.839539051055908
522,2024-04-15 15:05:44.158531,1.595,1.605,1.5951834930982285,0.0520610765154212,1.6094352941921728,-0.7005076464099723,0.4335714285714285,11.861033916473389
523,2024-04-15 15:05:44.179933,1.6,1.605,1.5998580057891727,0.0591298942677202,1.613110383831157,-0.7019855152010915,0.4328571428571429,11.882436037063599
524,2024-04-15 15:05:44.201844,1.605,1.605,1.6048811254077,0.065261656542368,1.6161736483089346,-0.7032171607463132,0.4314285714285714,11.904346942901611
525,2024-04-15 15:05:44.223218,1.61,1.605,1.609919983353062,0.0698063764655077,1.6182275696626895,-0.7040428843859348,0.4307142857142857,11.925720930099487
526,2024-04-15 15:05:44.245683,1.61,1.605,1.6102577318585125,0.0605755156382436,1.6116353154622185,-0.7013928803694673,0.4307142857142857,11.948185920715332
527,2024-04-15 15:05:44.267199,1.615,1.605,1.6149147454697412,0.0655484198330269,1.6138538371240363,-0.7022860942806506,0.43,11.969702005386353
528,2024-04-15 15:05:44.289320,1.615,1.605,1.6152316095621722,0.0574818931997599,1.6076237907732902,-0.6997708679306331,0.4307142857142857,11.991822957992554
529,2024-04-15 15:05:44.310862,1.615,1.605,1.6152020567681122,0.050604092688144,1.6020542786656322,-0.6975177874830957,0.4307142857142857,12.013365030288696
530,2024-04-15 15:05:44.332467,1.615,1.605,1.6151584499241909,0.0454991170471654,1.5976127957640016,-0.6957185055810151,0.4314285714285714,12.034970045089722
531,2024-04-15 15:05:44.354007,1.615,1.605,1.615124780999172,0.0417634270284431,1.5940753351044477,-0.6942840285425942,0.4314285714285714,12.056509971618652
532,2024-04-15 15:05:44.375602,1.62,1.605,1.619792506711981,0.0515970931359671,1.6000012855001469,-0.696688755179779,0.43,12.078104972839355
533,2024-04-15 15:05:44.397148,1.625,1.605,1.624831995172655,0.0598235484594831,1.6047331933479103,-0.6986073965725962,0.4292857142857142,12.099650859832764
534,2024-04-15 15:05:44.418748,1.62,1.605,1.6204997183614558,0.0405543488598673,1.5908338630069792,-0.6929757043744614,0.4307142857142857,12.121250867843628
535,2024-04-15 15:05:44.440728,1.62,1.605,1.620115997929826,0.03704303973059,1.5876397475947597,-0.6916822308173042,0.4314285714285714,12.14323091506958
536,2024-04-15 15:05:44.462167,1.625,1.605,1.624763516143604,0.0480385982340251,1.5940990773070547,-0.6942968978576369,0.43,12.16466999053955
537,2024-04-15 15:05:44.484349,1.625,1.605,1.6251164467911037,0.0445228064868713,1.590939457997946,-0.6930183088754418,0.43,12.186851978302002
538,2024-04-15 15:05:44.505803,1.62,1.605,1.6204244119807634,0.0283132018574269,1.57948735595701,-0.6883850950306191,0.4314285714285714,12.208306074142456
539,2024-04-15 15:05:44.527645,1.62,1.605,1.620037128919222,0.0280074069608573,1.5784902403443506,-0.6879817576162909,0.4321428571428571,12.230148077011108
540,2024-04-15 15:05:44.549109,1.625,1.605,1.6247039264018674,0.0414167776936372,1.5864083676221057,-0.6911842617739515,0.43,12.251611948013306
541,2024-04-15 15:05:44.570658,1.625,1.605,1.6250727694433051,0.0396709811547333,1.584469499882155,-0.6904001587092475,0.43,12.273160934448242
542,2024-04-15 15:05:44.592174,1.625,1.605,1.6250849024068788,0.0374183185595886,1.5822150900436331,-0.6894885142449075,0.4307142857142857,12.294677019119263
543,2024-04-15 15:05:44.613620,1.615,1.605,1.6156871961584345,0.0103639562469109,1.5640261014184078,-0.6821336254451988,0.4335714285714285,12.316123008728027
544,2024-04-15 15:05:44.635163,1.615,1.605,1.6149443206782783,0.0138181901644969,1.5654954047014231,-0.6827277250486073,0.4335714285714285,12.337666034698486
545,2024-04-15 15:05:44.656758,1.62,1.605,1.6196121303316058,0.030950827772434,1.5757012351587998,-0.6868542104193297,0.4314285714285714,12.35926103591919
546,2024-04-15 15:05:44.678326,1.62,1.605,1.6200037400028429,0.0320050839137005,1.575603100904002,-0.6868145333504784,0.4314285714285714,12.380828857421875
547,2024-04-15 15:05:44.699799,1.62,1.605,1.6200343273256166,0.031800149698605,1.5747048335661653,-0.6864513602867651,0.4314285714285714,12.402302026748657
548,2024-04-15 15:05:44.722201,1.62,1.605,1.620035032615893,0.0315627422007696,1.5737905554143536,-0.6860817220010657,0.4314285714285714,12.42470407485962
549,2024-04-15 15:05:44.743857,1.62,1.605,1.620033701231485,0.0313766093927535,1.5729133337872108,-0.6857270722783235,0.4314285714285714,12.446359872817993
550,2024-04-15 15:05:44.765854,1.62,1.605,1.6200325565101377,0.0312342084552057,1.5720681079068115,-0.6853853639427465,0.4314285714285714,12.468356847763062
551,2024-04-15 15:05:44.787300,1.62,1.605,1.6200316893098723,0.0311242398598506,1.571247511259657,-0.6850536180149156,0.4314285714285714,12.489803075790405
552,2024-04-15 15:05:44.808890,1.625,1.605,1.624723421855374,0.0436943524972385,1.5783912456178089,-0.6879416011855413,0.43,12.511393070220947
553,2024-04-15 15:05:44.830348,1.625,1.605,1.6250887377768517,0.0412623177262453,1.576105050241246,-0.6870173787480736,0.4307142857142857,12.532850980758667
554,2024-04-15 15:05:44.852005,1.625,1.605,1.6250964650910913,0.0385035905947725,1.573626041523528,-0.6860152229498412,0.4307142857142857,12.554507970809937
555,2024-04-15 15:05:44.874265,1.625,1.605,1.625080200307873,0.0364044103700805,1.5715701894923415,-0.6851841421986764,0.4307142857142857,12.576767921447754
556,2024-04-15 15:05:44.895730,1.62,1.605,1.6203740993288052,0.0222077691139474,1.562004529732703,-0.6813172631196105,0.4321428571428571,12.598232984542847
557,2024-04-15 15:05:44.917682,1.62,1.605,1.619998110709963,0.0234398129018247,1.5620527181427522,-0.6813367428359544,0.4321428571428571,12.620184898376465
558,2024-04-15 15:05:44.939127,1.62,1.605,1.6199825536133732,0.0253119185255692,1.562496601496272,-0.6815161762465309,0.4321428571428571,12.641629934310913
