datetime,z_tof,z_bar,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-17 16:39:14.332616,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.359079,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.384683,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.416602,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.440745,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.465772,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.491676,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.520536,nan,0.21468041469988608,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.545763,nan,0.21468041469988608,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.569721,nan,-0.32605103487526155,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.597093,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.621065,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.645081,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.671894,nan,0.47853630941086456,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.700922,nan,0.47853630941086456,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.725527,nan,0.47853630941086456,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.750918,nan,0.1088479600666091,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.778837,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.809466,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.835440,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.860490,nan,-0.6029324730935305,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.888270,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.917467,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.941552,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.967538,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:14.994501,nan,-0.20715620260377213,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.025212,nan,-0.20715620260377213,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.050161,nan,-0.20715620260377213,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.075191,nan,-0.4449254094842119,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.101230,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.131251,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.156970,nan,-0.16803965923093184,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.181830,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.209026,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.237205,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.262527,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.288482,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.315743,nan,0.4915652065721759,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.343979,nan,0.4915652065721759,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.368888,nan,0.4915652065721759,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.396696,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.425553,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.454294,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.478418,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.502467,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.538221,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.576021,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.607153,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.633934,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.659799,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.688993,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.717996,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.741991,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.766714,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.794607,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.819812,nan,-0.20715620260377213,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.845731,nan,-0.47100898741227015,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.874257,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.902947,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.929057,nan,-0.576840761192002,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.954578,nan,-0.47100898741227015,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:15.980997,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.005926,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.031091,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.056133,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.081821,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.108010,nan,-0.3390835639352812,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.134746,nan,-0.3390835639352812,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.164604,nan,0.20165376898839663,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.193722,nan,0.20165376898839663,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.223058,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.247449,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.274361,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.299558,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.324118,nan,-0.3130081201436832,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.350406,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
