,Date_Time,Altitude,Reference_altitude,timestamp
5360,2024-03-15 16:45:32.095436,3.055,3.1,56.09658908843994
5380,2024-03-15 16:45:32.329134,3.07,3.1,56.33028697967529
5400,2024-03-15 16:45:32.559068,3.13,3.1,56.56022095680237
5420,2024-03-15 16:45:32.801270,3.1,3.1,56.80242300033569
5440,2024-03-15 16:45:33.048652,3.15,3.1,57.04980492591858
5460,2024-03-15 16:45:33.296114,3.185,3.1,57.29726696014404
5480,2024-03-15 16:45:33.542618,3.13,3.1,57.54377102851868
5500,2024-03-15 16:45:33.791181,3.115,3.1,57.79233407974243
5520,2024-03-15 16:45:34.039224,3.095,3.1,58.04037690162659
5540,2024-03-15 16:45:34.287637,3.06,3.1,58.28878998756409
5560,2024-03-15 16:45:34.530675,3.055,3.1,58.53182792663574
5580,2024-03-15 16:45:34.718132,3.015,3.1,58.719285011291504
5600,2024-03-15 16:45:34.904471,2.94,3.1,58.90562391281128
5620,2024-03-15 16:45:35.091163,2.85,3.1,59.092315912246704
5640,2024-03-15 16:45:35.278376,2.815,3.1,59.279529094696045
5660,2024-03-15 16:45:35.463860,2.79,3.1,59.46501302719116
5680,2024-03-15 16:45:35.650413,2.77,3.1,59.65156602859497
5700,2024-03-15 16:45:35.836744,2.775,3.1,59.837897062301636
5720,2024-03-15 16:45:36.025888,2.735,3.1,60.02704095840454
5740,2024-03-15 16:45:36.213187,2.73,3.1,60.21433997154236
5760,2024-03-15 16:45:36.396289,2.74,3.1,60.39744210243225
5780,2024-03-15 16:45:36.583148,2.75,3.1,60.58430099487305
5800,2024-03-15 16:45:36.770785,2.745,3.1,60.77193808555603
5820,2024-03-15 16:45:36.957110,2.715,3.1,60.95826292037964
5840,2024-03-15 16:45:37.142510,2.68,3.1,61.14366292953491
5860,2024-03-15 16:45:37.329955,2.735,3.1,61.33110809326172
5880,2024-03-15 16:45:37.516128,2.77,3.1,61.51728105545044
5900,2024-03-15 16:45:37.704714,2.78,3.1,61.70586705207825
5920,2024-03-15 16:45:37.936853,2.765,3.1,61.93800592422485
5940,2024-03-15 16:45:38.187181,2.765,3.1,62.1883339881897
5960,2024-03-15 16:45:38.416685,2.825,3.1,62.41783809661865
5980,2024-03-15 16:45:38.604866,2.805,3.1,62.606019020080566
6000,2024-03-15 16:45:38.799780,2.82,3.1,62.80093288421631
6020,2024-03-15 16:45:38.987186,2.71,3.1,62.98833894729614
6040,2024-03-15 16:45:39.235217,2.79,3.5,63.23637008666992
6060,2024-03-15 16:45:39.482934,2.885,3.5,63.484086990356445
6080,2024-03-15 16:45:39.736641,2.98,3.5,63.737793922424316
6100,2024-03-15 16:45:40.007209,3.085,3.5,64.00836205482483
6120,2024-03-15 16:45:40.311372,3.155,3.5,64.3125250339508
6140,2024-03-15 16:45:40.595638,3.305,3.5,64.59679102897644
6160,2024-03-15 16:45:40.901895,3.305,3.5,64.90304803848267
6180,2024-03-15 16:45:41.148330,3.25,3.5,65.14948296546936
6200,2024-03-15 16:45:41.455981,3.17,3.5,65.45713400840759
6220,2024-03-15 16:45:41.761682,3.18,3.5,65.76283502578735
6240,2024-03-15 16:45:42.012008,3.06,3.5,66.01316094398499
6260,2024-03-15 16:45:42.300729,3.045,3.5,66.30188202857971
6280,2024-03-15 16:45:42.550292,3.085,3.5,66.55144500732422
6300,2024-03-15 16:45:42.814902,3.13,3.5,66.81605505943298
6320,2024-03-15 16:45:43.079589,3.295,3.5,67.08074188232422
6340,2024-03-15 16:45:43.377005,3.37,3.5,67.37815809249878
6360,2024-03-15 16:45:43.626334,3.42,3.5,67.62748694419861
6380,2024-03-15 16:45:43.872665,3.37,3.5,67.87381792068481
6400,2024-03-15 16:45:44.122604,3.38,3.5,68.12375688552856
6420,2024-03-15 16:45:44.460565,3.375,3.5,68.46171808242798
6440,2024-03-15 16:45:44.832140,3.325,3.5,68.8332929611206
6460,2024-03-15 16:45:45.197812,3.3,3.5,69.19896507263184
6480,2024-03-15 16:45:45.526444,3.295,3.5,69.527596950531
6500,2024-03-15 16:45:45.776265,3.23,3.5,69.7774178981781
6520,2024-03-15 16:45:46.024664,3.15,3.5,70.02581691741943
6540,2024-03-15 16:45:46.270800,3.155,3.5,70.27195310592651
6560,2024-03-15 16:45:46.514299,3.115,3.5,70.51545190811157
6580,2024-03-15 16:45:46.744524,3.17,3.5,70.74567699432373
6600,2024-03-15 16:45:46.994972,3.185,3.5,70.99612498283386
6620,2024-03-15 16:45:47.240159,3.195,3.5,71.24131202697754
6640,2024-03-15 16:45:47.489312,3.235,3.5,71.49046492576599
6660,2024-03-15 16:45:47.735868,3.21,3.5,71.73702096939087
6680,2024-03-15 16:45:47.984922,3.25,3.5,71.986074924469
6700,2024-03-15 16:45:48.231327,3.29,3.5,72.2324800491333
6720,2024-03-15 16:45:48.480753,3.29,3.5,72.48190593719482
6740,2024-03-15 16:45:48.728123,3.285,3.5,72.72927594184875
6760,2024-03-15 16:45:48.975013,3.32,3.5,72.97616600990295
6780,2024-03-15 16:45:49.222550,3.32,3.5,73.22370290756226
6800,2024-03-15 16:45:49.470478,3.32,3.5,73.47163105010986
6820,2024-03-15 16:45:49.719208,3.285,3.5,73.72036099433899
6840,2024-03-15 16:45:49.967088,3.24,3.5,73.96824097633362
6860,2024-03-15 16:45:50.213988,3.195,3.1,74.21514105796814
6880,2024-03-15 16:45:50.462999,3.125,3.1,74.46415209770203
6900,2024-03-15 16:45:50.712887,3.015,3.1,74.71404004096985
6920,2024-03-15 16:45:50.944379,3.02,3.1,74.94553208351135
6940,2024-03-15 16:45:51.153953,2.95,3.1,75.15510606765747
6960,2024-03-15 16:45:51.339377,2.94,3.1,75.34052991867065
6980,2024-03-15 16:45:51.541281,2.81,3.1,75.54243397712708
7000,2024-03-15 16:45:51.725443,2.9,3.1,75.72659587860107
7020,2024-03-15 16:45:51.953385,3.03,3.1,75.95453810691833
7040,2024-03-15 16:45:52.153809,2.935,3.1,76.1549620628357
7060,2024-03-15 16:45:52.343941,2.91,3.1,76.3450939655304
7080,2024-03-15 16:45:52.557798,2.95,3.1,76.5589509010315
7100,2024-03-15 16:45:52.753988,2.945,3.1,76.75514101982117
7120,2024-03-15 16:45:52.997550,2.96,3.1,76.99870300292969
7140,2024-03-15 16:45:53.218128,2.92,3.1,77.21928095817566
7160,2024-03-15 16:45:53.422612,2.915,3.1,77.42376494407654
7180,2024-03-15 16:45:53.660347,2.845,3.1,77.66149997711182
7200,2024-03-15 16:45:53.885136,2.85,3.1,77.88628888130188
7220,2024-03-15 16:45:54.070541,2.865,3.1,78.07169389724731
7240,2024-03-15 16:45:54.258401,2.87,3.1,78.25955390930176
7260,2024-03-15 16:45:54.444900,2.875,3.1,78.44605302810669
7280,2024-03-15 16:45:54.629603,2.84,3.1,78.63075590133667
