datetime,z_ref,z,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-09 18:49:57.602505,1.37,1.315,1.3695920058907576,0.10321772651052318,4.07358003260246,-1.6641129686533265,0.39071428571428574
2024-04-09 18:49:57.626408,1.37,1.315,1.3702237552437193,0.09420723413569283,4.073519301239352,-1.6641429963640946,0.39071428571428574
2024-04-09 18:49:57.649725,1.375,1.315,1.3748989418319126,0.09830548390038296,4.073546961464642,-1.6641295314503814,0.3892857142857143
2024-04-09 18:49:57.673111,1.37,1.315,1.37052059206005,0.07730728471778057,4.073403610084017,-1.6641985293660413,0.39071428571428574
2024-04-09 18:49:57.697019,1.37,1.315,1.370121248716115,0.07241968632986234,4.073370077705556,-1.6642145370369372,0.39071428571428574
2024-04-09 18:49:57.720826,1.36,1.315,1.3606829047715885,0.04485242933882497,4.073180626265926,-1.6643044389668893,0.3942857142857143
2024-04-09 18:49:57.743933,1.36,1.315,1.3599311608436337,0.04761986748666282,4.073199766114604,-1.6642953956311202,0.3942857142857143
2024-04-09 18:49:57.768572,1.36,1.315,1.3599018849610467,0.051570996143518864,4.073227088855918,-1.6642825264237828,0.3942857142857143
2024-04-09 18:49:57.792070,1.37,1.315,1.3693080348798612,0.0795010320823602,4.073419999273281,-1.6641918700956762,0.3914285714285714
2024-04-09 18:49:57.815438,1.36,1.315,1.3606764363246702,0.05219925545911786,4.0732312724290125,-1.6642804155113498,0.3942857142857143
2024-04-09 18:49:57.838850,1.355,1.315,1.3552842599740664,0.04071490604309465,4.073151921783761,-1.664317600976022,0.39571428571428574
2024-04-09 18:49:57.863186,1.345,1.315,1.3454974846674181,0.02061472608191173,4.073013001910953,-1.6643826474082908,0.3992857142857143
2024-04-09 18:49:57.886427,1.345,1.315,1.3447702996352335,0.02986220523522463,4.073077158233858,-1.6643526252915284,0.3992857142857143
2024-04-09 18:49:57.910225,1.345,1.315,1.3447824887352053,0.038623175098864454,4.073137917325036,-1.664324204682748,0.3992857142857143
2024-04-09 18:49:57.934759,1.345,1.315,1.34483725379634,0.04517834862904514,4.073183380734365,-1.6643029448003617,0.3985714285714286
2024-04-09 18:49:57.959923,1.34,1.315,1.3401892467085021,0.0375259273692116,4.073130514404496,-1.664327661810121,0.4
2024-04-09 18:49:57.983107,1.33,1.315,1.3304719673476155,0.018454143987866153,4.0729986746112115,-1.664389294508736,0.4035714285714286
2024-04-09 18:49:58.006478,1.33,1.315,1.3297554062229726,0.028301676297770022,4.073066995275774,-1.6643573580682827,0.4035714285714286
2024-04-09 18:49:58.030513,1.315,1.315,1.3156965581426967,0.00015657995866638283,4.072872446849188,-1.6644482965772545,0.40785714285714286
2024-04-09 18:49:58.053746,1.315,1.315,1.3146564407970553,0.013988735539701497,4.072968393421696,-1.6644034481878287,0.4085714285714286
2024-04-09 18:49:58.077494,1.315,1.315,1.3146776063257082,0.026974743462608402,4.073058419319049,-1.6643613667494188,0.40785714285714286
2024-04-09 18:49:58.102364,1.305,1.315,1.3053753789689808,0.011796381691215553,4.072953609802726,-1.6644103599397295,0.4107142857142857
2024-04-09 18:49:58.125894,1.3,1.315,1.3000166085699896,0.011094029923040363,4.07294897308658,-1.6644125274535868,0.41285714285714287
2024-04-09 18:49:58.149114,1.295,1.315,1.2949901636059336,0.011458974930812934,4.072951718830204,-1.6644112438497995,0.4142857142857143
2024-04-09 18:49:58.173210,1.295,1.315,1.294682580607273,0.02424267355330672,4.073040312378821,-1.6643698252786818,0.4142857142857143
2024-04-09 18:49:58.197065,1.3,1.315,1.2994342330035777,0.04706104052186433,4.073198200680653,-1.6642960065256327,0.41214285714285714
2024-04-09 18:49:58.220461,1.29,1.315,1.2904842149897635,0.02750074789687521,4.073063088764124,-1.664359180092465,0.4157142857142857
2024-04-09 18:49:58.244455,1.295,1.315,1.29450373310626,0.04751506709342576,4.073201545271012,-1.664294438851522,0.4142857142857143
2024-04-09 18:49:58.268198,1.285,1.315,1.2854912983102196,0.027669093297792366,4.073064493177604,-1.6643585273194277,0.41714285714285715
2024-04-09 18:49:58.292148,1.295,1.315,1.2941970045705329,0.060067521906540855,4.073288466145736,-1.6642537862828857,0.4135714285714286
2024-04-09 18:49:58.316020,1.295,1.315,1.2949333746410148,0.06275503391536878,4.073307046931937,-1.6642450964236692,0.4135714285714286
