datetime,z_tof,z_bar,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,z_hat_2,v_hat_2,alpha_1_2,alpha_0_2,d_bar,d_gnss
2024-04-24 12:12:55.916008,nan,0.28794541939838214,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:55.942186,nan,0.15933877714574116,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:55.969345,nan,0.15933877714574116,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.000099,nan,0.15933877714574116,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.027637,nan,0.009695288224192397,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.052825,nan,0.15933877714574116,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.081276,nan,-0.22646995293108485,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.111344,nan,-0.22646995293108485,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.138042,nan,-0.22646995293108485,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.164954,nan,-0.09786890896374092,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.191972,nan,-0.09786890896374092,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.222499,nan,-0.09786890896374092,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.247784,nan,-0.11891155959672461,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.279029,nan,-0.09786890896374092,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.315757,nan,-0.09786890896374092,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.356576,nan,-0.11891155959672461,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.398015,nan,-0.11891155959672461,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.444200,nan,0.03073400104409948,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
2024-04-24 12:12:56.482984,nan,-0.18434547078426292,nan,0.5,0.0,3.0,-1.0,0.01,0.5,0.0,3.0,-1.0,0.0,0.0
